flare,Types,Colour Code,Type,value,,
crime_gender,Gender,1,Male,76638,, 
crime_gender,Gender,1,Female ,17948,,
crime_gender,Gender,1,Unknown,92,,
crime age range,Age Range,2,18-19,3148,,
crime age range,Age Range,2,20-29,32988,,
crime age range,Age Range,2,30-39,27239,,
crime age range,Age Range,2,40-49,16074,,
crime age range,Age Range,2,50-59,11332,,
crime age range,Age Range,2,60-69,3444,,
crime age range,Age Range,2,70-79,377,,
crime age range,Age Range,2,80-89,71,,
crime age range,Age Range,2,90-99,5,,
crime_race,race,3,Black,41244,,
crime_race,race,3,Hispanic or Latino,28962,,
crime_race,race,3,White,22883,,
crime_race,race,3,Asian,755,,
crime_race,race,3,Middle Eastern,472,,
crime_race,race,3,American Indian or Alaska Native,212,,
crime_race,race,3,Native Hawaiian/Pacific Islander,102,,
crime_race,race,3,Unknown,44,,
crime_race,race,3,NH,3,,
crime_race,race,3,H,1,,
crime ethnicity ,Ethnicity ,4,Non-Hispanic or Latino,82184,,
crime ethnicity ,Ethnicity ,4,Hispanic or Latino,12227,,
crime ethnicity ,Ethnicity ,4,Unknown,267,,
